employment_type,average_salary_in_K,job_category
Contract,260.50,"Data Science and Research"
Contract,118.54,"Data Engineering"
Contract,105.27,"Data Analysis"
Freelance,60.50,"Data Science and Research"
Freelance,36.00,"Data Analysis"
Freelance,35.00,"Data Engineering"
Full-time,163.89,"Data Science and Research"
Full-time,156.00,"Data Architecture and Modeling"
Full-time,155.00,"Cloud and Database"
Full-time,146.38,"Data Engineering"
Full-time,108.77,"Data Analysis"
Full-time,103.14,"Data Management and Strategy"
Full-time,100.88,"Data Quality and Operations"
Part-time,84.59,"Data Science and Research"
Part-time,61.14,"Data Engineering"
Part-time,51.82,"Data Analysis"
